,player_slot,hero_id,kills,deaths,assists,last_hits,denies,gold_per_min,xp_per_min,level,hero_damage,tower_damage,hero_healing,gold,gold_spent,scaled_hero_damage,scaled_tower_damage,scaled_hero_healing,won,match_id,match_id_int
433,130.0,36.0,3.0,7.0,13.0,37.0,1.0,275.0,355.0,17.0,7809.0,259.0,6818.0,3544.0,7660.0,4984.0,138.0,2169.0,1,5334073103.0,5334073103
434,128.0,36.0,1.0,8.0,4.0,23.0,2.0,186.0,273.0,11.0,,,,,,,,,0,5320460047.0,5320460047
435,1.0,77.0,2.0,6.0,23.0,417.0,9.0,550.0,645.0,25.0,,,,,,,,,1,5101209361.0,5101209361
436,3.0,52.0,11.0,15.0,17.0,210.0,5.0,467.0,563.0,24.0,,,,,,,,,0,4963860239.0,4963860239
437,128.0,95.0,9.0,8.0,6.0,204.0,13.0,465.0,634.0,24.0,17559.0,10662.0,0.0,544.0,18930.0,12102.0,5264.0,0.0,1,5441507104.0,5441507104
438,0.0,50.0,2.0,7.0,16.0,102.0,5.0,346.0,513.0,22.0,10298.0,215.0,7200.0,4563.0,10765.0,7669.0,105.0,2904.0,1,5376827188.0,5376827188
439,4.0,46.0,3.0,7.0,11.0,108.0,6.0,417.0,546.0,20.0,,,,,,,,,1,5107967799.0,5107967799
440,1.0,70.0,9.0,5.0,13.0,194.0,4.0,409.0,713.0,26.0,29924.0,770.0,3038.0,2006.0,16140.0,13284.0,300.0,1332.0,0,5439491897.0,5439491897
441,131.0,36.0,7.0,5.0,22.0,34.0,12.0,350.0,463.0,19.0,,,,,,,,,1,5284396868.0,5284396868
442,129.0,36.0,11.0,8.0,22.0,55.0,5.0,344.0,578.0,22.0,22052.0,1318.0,10904.0,3009.0,10350.0,11215.0,623.0,4326.0,1,5360230213.0,5360230213
443,2.0,42.0,3.0,3.0,15.0,151.0,5.0,515.0,448.0,15.0,,,,,,,,,1,4945493830.0,4945493830
444,132.0,28.0,5.0,6.0,23.0,154.0,20.0,419.0,704.0,25.0,,,,,,,,,1,4878329677.0,4878329677
445,128.0,36.0,5.0,5.0,13.0,54.0,4.0,310.0,511.0,20.0,13167.0,603.0,7154.0,3096.0,8695.0,6914.0,252.0,2853.0,1,5454397262.0,5454397262
446,130.0,50.0,1.0,6.0,14.0,56.0,4.0,255.0,444.0,19.0,7459.0,73.0,4081.0,1113.0,8655.0,5839.0,37.0,1761.0,0,5344980816.0,5344980816
447,0.0,105.0,4.0,4.0,14.0,102.0,2.0,386.0,477.0,19.0,12896.0,128.0,1600.0,4078.0,9940.0,8205.0,78.0,896.0,1,5445211987.0,5445211987
448,0.0,30.0,3.0,8.0,11.0,34.0,9.0,261.0,369.0,16.0,9597.0,350.0,373.0,2097.0,6925.0,7569.0,143.0,135.0,1,5399555923.0,5399555923
449,128.0,70.0,22.0,2.0,3.0,251.0,14.0,658.0,853.0,25.0,,,,,,,,,0,4881887061.0,4881887061
450,2.0,108.0,2.0,9.0,26.0,100.0,5.0,394.0,506.0,21.0,,,,,,,,,1,5019426647.0,5019426647
451,4.0,108.0,3.0,7.0,3.0,111.0,11.0,294.0,352.0,15.0,15086.0,0.0,125.0,218.0,9270.0,9137.0,0.0,57.0,0,5437310812.0,5437310812
452,131.0,98.0,5.0,6.0,12.0,132.0,13.0,398.0,460.0,19.0,15010.0,1246.0,0.0,1688.0,12015.0,9659.0,740.0,0.0,1,5463299934.0,5463299934
454,0.0,37.0,0.0,8.0,12.0,98.0,1.0,248.0,351.0,18.0,,,,,,,,,0,5083774825.0,5083774825
455,128.0,75.0,5.0,9.0,29.0,167.0,8.0,388.0,538.0,27.0,,,,,,,,,1,5164152682.0,5164152682
456,132.0,45.0,4.0,17.0,22.0,130.0,6.0,303.0,385.0,21.0,,,,,,,,,0,4898420589.0,4898420589
458,130.0,30.0,7.0,9.0,20.0,67.0,7.0,383.0,556.0,25.0,,,,,,,,,1,4991612791.0,4991612791
459,129.0,105.0,4.0,2.0,10.0,106.0,3.0,259.0,444.0,21.0,29956.0,169.0,0.0,384.0,9865.0,16287.0,60.0,0.0,0,5377175423.0,5377175423
460,128.0,75.0,6.0,5.0,26.0,71.0,13.0,362.0,566.0,23.0,,,,,,,,,1,5164232576.0,5164232576
462,4.0,70.0,12.0,6.0,5.0,250.0,6.0,567.0,703.0,25.0,,,,,,,,,1,5039058821.0,5039058821
463,130.0,86.0,3.0,9.0,17.0,148.0,5.0,379.0,557.0,24.0,19909.0,1276.0,600.0,3622.0,14725.0,9857.0,517.0,92.0,1,5462896519.0,5462896519
464,4.0,36.0,7.0,9.0,13.0,38.0,1.0,314.0,379.0,18.0,,,,,,,,,1,5255982983.0,5255982983
465,129.0,75.0,8.0,12.0,32.0,83.0,1.0,364.0,559.0,25.0,,,,,,,,,1,5096425351.0,5096425351
467,128.0,53.0,2.0,7.0,25.0,265.0,6.0,460.0,598.0,24.0,12260.0,3913.0,4080.0,4086.0,17870.0,5537.0,2020.0,930.0,1,5452435339.0,5452435339
468,4.0,16.0,6.0,7.0,16.0,80.0,2.0,376.0,505.0,21.0,,,,,,,,,1,4945876877.0,4945876877
469,1.0,33.0,2.0,4.0,15.0,80.0,16.0,350.0,380.0,16.0,15811.0,1450.0,0.0,1428.0,9600.0,10618.0,672.0,0.0,1,5337304975.0,5337304975
470,2.0,70.0,16.0,7.0,9.0,251.0,2.0,558.0,662.0,26.0,32495.0,9451.0,0.0,5808.0,19490.0,19058.0,4790.0,0.0,1,5439549328.0,5439549328
471,128.0,35.0,5.0,4.0,4.0,133.0,23.0,318.0,486.0,18.0,22360.0,62.0,0.0,247.0,9750.0,12998.0,17.0,0.0,0,5428699027.0,5428699027
472,128.0,30.0,7.0,11.0,9.0,52.0,10.0,236.0,489.0,21.0,23330.0,968.0,2968.0,841.0,8265.0,16169.0,421.0,1308.0,0,5437382550.0,5437382550
473,131.0,23.0,4.0,11.0,13.0,187.0,5.0,347.0,614.0,24.0,20777.0,0.0,125.0,2684.0,11310.0,9711.0,0.0,135.0,0,5429997462.0,5429997462
475,132.0,105.0,6.0,5.0,15.0,99.0,0.0,418.0,639.0,25.0,,,,,,,,,1,5170636707.0,5170636707
476,2.0,108.0,6.0,11.0,10.0,127.0,4.0,324.0,550.0,23.0,,,,,,,,,0,5196216233.0,5196216233
477,1.0,77.0,2.0,3.0,15.0,144.0,6.0,379.0,398.0,15.0,7919.0,5904.0,0.0,2073.0,9235.0,5402.0,3396.0,0.0,1,5372667818.0,5372667818
478,128.0,47.0,6.0,6.0,10.0,144.0,18.0,445.0,546.0,19.0,,,,,,,,,0,4985204651.0,4985204651
479,128.0,50.0,4.0,14.0,23.0,66.0,6.0,269.0,432.0,23.0,9854.0,0.0,6277.0,1767.0,11700.0,6619.0,0.0,2686.0,1,5383163821.0,5383163821
480,130.0,36.0,11.0,1.0,15.0,47.0,5.0,400.0,616.0,21.0,,,,,,,,,1,5248006066.0,5248006066
481,2.0,70.0,1.0,7.0,4.0,102.0,3.0,272.0,294.0,14.0,,,,,,,,,0,5275264949.0,5275264949
482,2.0,5.0,3.0,6.0,5.0,41.0,3.0,374.0,320.0,12.0,,,,,,,,,1,4905691063.0,4905691063
483,129.0,62.0,4.0,14.0,15.0,56.0,1.0,355.0,604.0,25.0,,,,,,,,,0,4888694719.0,4888694719
484,2.0,36.0,9.0,8.0,31.0,126.0,1.0,429.0,581.0,28.0,,,,,,,,,1,5228380098.0,5228380098
486,132.0,103.0,17.0,1.0,8.0,39.0,1.0,1536.0,1090.0,16.0,,,,,,,,,1,4949843914.0,4949843914
487,132.0,108.0,4.0,5.0,22.0,123.0,33.0,369.0,545.0,23.0,,,,,,,,,1,5061029846.0,5061029846
488,2.0,108.0,2.0,12.0,6.0,102.0,8.0,307.0,365.0,15.0,,,,,,,,,0,4881831895.0,4881831895
489,131.0,22.0,5.0,12.0,11.0,29.0,7.0,275.0,362.0,14.0,,,,,,,,,0,5101266906.0,5101266906
491,0.0,52.0,5.0,5.0,16.0,93.0,7.0,444.0,458.0,16.0,,,,,,,,,1,4985118692.0,4985118692
492,0.0,22.0,8.0,9.0,9.0,37.0,1.0,255.0,538.0,19.0,38740.0,0.0,400.0,401.0,8205.0,21496.0,0.0,328.0,0,5447307243.0,5447307243
493,4.0,35.0,10.0,6.0,4.0,264.0,17.0,551.0,542.0,23.0,,,,,,,,,0,5119965164.0,5119965164
494,0.0,4.0,9.0,7.0,0.0,208.0,13.0,395.0,515.0,20.0,14477.0,220.0,0.0,210.0,13520.0,10935.0,107.0,0.0,0,5419137005.0,5419137005
496,4.0,40.0,5.0,5.0,10.0,129.0,4.0,426.0,565.0,22.0,,,,,,,,,1,4957900789.0,4957900789
497,131.0,33.0,2.0,12.0,10.0,113.0,21.0,257.0,254.0,15.0,8670.0,110.0,0.0,212.0,8625.0,5714.0,75.0,0.0,0,5343059958.0,5343059958
498,2.0,36.0,5.0,7.0,16.0,147.0,6.0,389.0,545.0,23.0,,,,,,,,,1,5261658103.0,5261658103
499,3.0,75.0,1.0,9.0,7.0,42.0,0.0,192.0,349.0,19.0,14290.0,0.0,0.0,695.0,7785.0,7045.0,0.0,0.0,0,5350023165.0,5350023165
