player_slot,hero_id,item_0,item_1,item_2,item_3,item_4,item_5,backpack_0,backpack_1,backpack_2,item_neutral,kills,deaths,assists,leaver_status,last_hits,denies,gold_per_min,xp_per_min,level,won,match_id,hero_damage,tower_damage,hero_healing,gold,gold_spent,scaled_hero_damage,scaled_tower_damage,scaled_hero_healing,ability_upgrades,additional_units,match_id_int
131.0,96.0,50.0,127.0,119.0,125.0,12.0,11.0,0.0,0.0,0.0,360.0,4.0,4.0,18.0,0.0,262.0,11.0,537.0,600.0,20.0,1.0,5460955292.0,,,,,,,,,,,5460955292
1.0,57.0,0.0,231.0,81.0,39.0,0.0,178.0,0.0,0.0,0.0,311.0,3.0,11.0,31.0,0.0,44.0,2.0,281.0,606.0,26.0,True,5332983971.0,,,,,,,,,,,5332983971
4.0,30.0,232.0,254.0,214.0,218.0,36.0,23.0,22.0,21.0,0.0,331.0,2.0,3.0,24.0,0.0,59.0,12.0,316.0,620.0,22.0,True,5515729061.0,18565.0,1431.0,5071.0,1695.0,10500.0,11668.0,722.0,1909.0,"[{'ability': 5138, 'time': 146, 'level': 1}, {'ability': 5140, 'time': 329, 'level': 2}, {'ability': 5140, 'time': 451, 'level': 3}, {'ability': 5138, 'time': 639, 'level': 4}, {'ability': 5140, 'time': 823, 'level': 5}, {'ability': 5141, 'time': 965, 'level': 6}, {'ability': 5140, 'time': 1122, 'level': 7}, {'ability': 5139, 'time': 1238, 'level': 8}, {'ability': 5138, 'time': 1341, 'level': 9}, {'ability': 5139, 'time': 1430, 'level': 10}, {'ability': 5138, 'time': 1560, 'level': 11}, {'ability': 5141, 'time': 1587, 'level': 12}, {'ability': 6366, 'time': 1757, 'level': 13}, {'ability': 5139, 'time': 1823, 'level': 14}, {'ability': 417, 'time': 1917, 'level': 15}, {'ability': 5139, 'time': 2063, 'level': 16}, {'ability': 5141, 'time': 2167, 'level': 17}, {'ability': 6995, 'time': 2260, 'level': 18}]",,5515729061
130.0,44.0,50.0,116.0,53.0,168.0,145.0,26.0,5.0,0.0,0.0,363.0,12.0,5.0,5.0,0.0,280.0,22.0,513.0,635.0,24.0,0.0,5503602855.0,,,,,,,,,,,5503602855
128.0,75.0,102.0,36.0,77.0,218.0,63.0,236.0,0.0,0.0,0.0,361.0,1.0,8.0,10.0,0.0,55.0,4.0,243.0,342.0,16.0,0.0,5498157225.0,,,,,,,,,,,5498157225
131.0,105.0,100.0,30.0,214.0,96.0,108.0,41.0,0.0,0.0,0.0,360.0,4.0,7.0,12.0,0.0,156.0,8.0,425.0,478.0,26.0,True,5625049263.0,34275.0,990.0,0.0,8004.0,16250.0,12957.0,359.0,0.0,"[{'ability': 5599, 'time': 222, 'level': 1}, {'ability': 5601, 'time': 428, 'level': 2}, {'ability': 5599, 'time': 674, 'level': 3}, {'ability': 5600, 'time': 838, 'level': 4}, {'ability': 5602, 'time': 947, 'level': 5}, {'ability': 5599, 'time': 949, 'level': 6}, {'ability': 5599, 'time': 1344, 'level': 7}, {'ability': 5600, 'time': 1522, 'level': 8}, {'ability': 5600, 'time': 1603, 'level': 9}, {'ability': 6000, 'time': 1769, 'level': 10}, {'ability': 5602, 'time': 2020, 'level': 11}, {'ability': 5600, 'time': 2021, 'level': 12}, {'ability': 5601, 'time': 2117, 'level': 13}, {'ability': 5601, 'time': 2301, 'level': 14}, {'ability': 5601, 'time': 2412, 'level': 15}, {'ability': 6410, 'time': 2453, 'level': 16}, {'ability': 5602, 'time': 2726, 'level': 17}, {'ability': 6093, 'time': 2945, 'level': 18}, {'ability': 6998, 'time': 3925, 'level': 19}]",,5625049263
130.0,80.0,63.0,108.0,216.0,181.0,216.0,216.0,0.0,0.0,0.0,363.0,3.0,15.0,9.0,0.0,347.0,7.0,444.0,557.0,26.0,True,5471533238.0,,,,,,,,,,"[{'unitname': 'spirit_bear', 'item_0': 50, 'item_1': 172, 'item_2': 135, 'item_3': 0, 'item_4': 166, 'item_5': 0, 'backpack_0': 0, 'backpack_1': 0, 'backpack_2': 0, 'item_neutral': 0}]",5471533238
129.0,17.0,41.0,36.0,77.0,63.0,121.0,69.0,237.0,0.0,0.0,288.0,6.0,7.0,10.0,0.0,157.0,10.0,370.0,573.0,22.0,0.0,5467633855.0,,,,,,,,,,,5467633855
129.0,83.0,223.0,108.0,214.0,69.0,69.0,218.0,0.0,0.0,0.0,300.0,1.0,10.0,14.0,0.0,175.0,3.0,304.0,571.0,25.0,0.0,5395155148.0,,,,,,,,,,,5395155148
2.0,44.0,50.0,116.0,75.0,26.0,168.0,0.0,0.0,11.0,0.0,334.0,5.0,10.0,3.0,0.0,187.0,7.0,372.0,621.0,24.0,0.0,5503639774.0,,,,,,,,,,,5503639774
